Wavelength,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7
2009.5,0.000278,0.004522,0.002741,-0.000406,0.000527,0.00633,-0.00146
2009,-0.001002,0.001408,0.000754,-0.001777,-0.001186,0.005979,-0.00277
2008.5,-0.001742,-0.001389,-0.000761,-0.001442,-0.001737,0.004899,-0.002739
2008,-0.000856,-0.002239,-0.000463,0.000924,-0.000478,0.003885,-0.000591
2007.5,0.001617,-0.001268,0.00172,0.004368,0.00199,0.003895,0.002811
2007,0.004102,0.000044,0.004602,0.007491,0.004213,0.005324,0.005456
2006.5,0.00469,0.000633,0.006514,0.009397,0.004899,0.0074,0.005817
2006,0.002905,0.000681,0.006663,0.009845,0.003869,0.008614,0.003923
2005.5,-0.000043,0.000771,0.005727,0.008795,0.002029,0.008119,0.000918
2005,-0.002649,0.00088,0.004769,0.006266,0.000436,0.006402,-0.002037
2004.5,-0.004185,0.000543,0.003984,0.002765,-0.000334,0.004437,-0.00431
2004,-0.004477,-0.000294,0.003024,-0.000411,-0.000091,0.002695,-0.005691
2003.5,-0.00347,-0.001098,0.002113,-0.001795,0.001058,0.001231,-0.006239
2003,-0.001569,-0.001441,0.001923,-0.000971,0.002444,0.000192,-0.006219
2002.5,0.000035,-0.001411,0.002403,0.000941,0.003075,-0.000312,-0.005888
2002,0.000153,-0.00111,0.00264,0.002251,0.002655,-0.000485,-0.005188
2001.5,-0.001308,-0.0002,0.002075,0.002104,0.001977,-0.000487,-0.00384
2001,-0.003449,0.001508,0.001107,0.000898,0.001849,-0.000125,-0.001857
2000.5,-0.005373,0.003079,0.000211,-0.000423,0.001986,0.000545,0.000138
2000,-0.006664,0.002776,-0.0008,-0.00123,0.001508,0.00065,0.001301
1999.5,-0.007113,-0.000109,-0.002162,-0.00154,0.000365,-0.000653,0.001294
1999,-0.00661,-0.004042,-0.003316,-0.001801,-0.000336,-0.002671,0.000595
1998.5,-0.005383,-0.006479,-0.003317,-0.002303,0.000446,-0.003316,0.000085
1998,-0.003845,-0.006284,-0.001918,-0.002707,0.002533,-0.001221,0.000368
1997.5,-0.002149,-0.004415,0.000146,-0.002324,0.004695,0.002613,0.00136
1997,-0.000365,-0.002338,0.001848,-0.000989,0.005767,0.005584,0.002385
1996.5,0.000967,-0.000567,0.002563,0.000589,0.005561,0.005762,0.002691
1996,0.001193,0.000982,0.002305,0.001598,0.004847,0.003403,0.002024
1995.5,0.000548,0.001939,0.001583,0.002013,0.004435,0.000384,0.00078
1995,0.000146,0.001641,0.001029,0.002445,0.004294,-0.001583,-0.000394
1994.5,0.000646,0.000279,0.000991,0.003258,0.003737,-0.002192,-0.001138
1994,0.001421,-0.000974,0.001459,0.004143,0.002443,-0.00226,-0.001497
1993.5,0.0014,-0.001163,0.002328,0.004528,0.000961,-0.002412,-0.001596
1993,0.000399,-0.000337,0.003505,0.004119,0.000124,-0.002205,-0.001345
1992.5,-0.000779,0.000897,0.004658,0.003054,0.000296,-0.000832,-0.000572
1992,-0.001352,0.002093,0.005236,0.001713,0.001285,0.001388,0.000613
1991.5,-0.001291,0.002971,0.005078,0.00045,0.002613,0.002919,0.001776
1991,-0.001079,0.003196,0.004727,-0.00054,0.003623,0.002758,0.002516
1990.5,-0.001069,0.002615,0.004796,-0.00115,0.003737,0.00165,0.002693
1990,-0.001151,0.001495,0.005162,-0.001294,0.002979,0.001128,0.002314
1989.5,-0.00099,0.000114,0.004901,-0.001102,0.001905,0.001627,0.001335
1989,-0.00078,-0.00176,0.003019,-0.001095,0.000676,0.001818,-0.000387
1988.5,-0.001535,-0.004452,-0.000624,-0.001767,-0.001308,0.000068,-0.002893
1988,-0.003885,-0.007351,-0.004936,-0.002816,-0.004265,-0.003417,-0.005686
1987.5,-0.00652,-0.008788,-0.008098,-0.0032,-0.006965,-0.006341,-0.007552
1987,-0.006838,-0.007382,-0.008729,-0.002253,-0.007641,-0.006436,-0.007172
1986.5,-0.003752,-0.003537,-0.006915,-0.000417,-0.005825,-0.003721,-0.004297
1986,0.000765,0.000593,-0.004134,0.00146,-0.002687,-0.000407,-0.000277
1985.5,0.003625,0.002864,-0.00195,0.003152,0.00029,0.001525,0.002943
1985,0.003718,0.00289,-0.000726,0.004847,0.002301,0.002262,0.004449
1984.5,0.002387,0.001976,0.000342,0.006308,0.003007,0.00336,0.004806
1984,0.001283,0.001541,0.002101,0.006932,0.002413,0.005518,0.005024
1983.5,0.00083,0.00184,0.004422,0.006479,0.001277,0.007751,0.005423
1983,0.000707,0.002195,0.006226,0.005091,0.00085,0.008647,0.005575
1982.5,0.000677,0.002035,0.00642,0.002818,0.001686,0.007747,0.005012
1982,0.00055,0.001414,0.005035,-0.000004,0.003101,0.005587,0.003677
1981.5,0.000005,0.00072,0.003435,-0.002096,0.004084,0.003034,0.001865
1981,-0.001087,0.0003,0.003075,-0.002064,0.004303,0.000902,0.000033
1980.5,-0.002493,0.000299,0.003894,-0.000177,0.00387,-0.000324,-0.001375
1980,-0.004014,0.000503,0.004195,0.001551,0.002679,-0.000906,-0.002172
1979.5,-0.005627,0.00038,0.002528,0.001732,0.000733,-0.001626,-0.002419
1979,-0.006927,-0.000206,-0.000409,0.001432,-0.00103,-0.002579,-0.001996
1978.5,-0.00693,-0.000397,-0.002289,0.002756,-0.001073,-0.002562,-0.000444
1978,-0.005004,0.000832,-0.001665,0.005932,0.001088,-0.000553,0.002301
1977.5,-0.001817,0.003049,0.000576,0.008849,0.003986,0.002381,0.005154
1977,0.001019,0.004429,0.002494,0.009439,0.005437,0.003726,0.00649
1976.5,0.002008,0.003753,0.002971,0.007538,0.004429,0.002095,0.005582
1976,0.000495,0.001727,0.002003,0.004491,0.001701,-0.001463,0.003104
1975.5,-0.002988,-0.000026,-0.000088,0.001784,-0.001211,-0.004749,0.000285
1975,-0.006954,-0.000748,-0.002969,0.000088,-0.003305,-0.006401,-0.002137
1974.5,-0.009893,-0.000764,-0.005859,-0.000795,-0.004518,-0.006436,-0.004025
1974,-0.011281,-0.00042,-0.007428,-0.001315,-0.005088,-0.005468,-0.005306
1973.5,-0.011608,0.000469,-0.006632,-0.001564,-0.004843,-0.003922,-0.00576
1973,-0.011493,0.002072,-0.003701,-0.00148,-0.003388,-0.001967,-0.00533
1972.5,-0.011118,0.003863,-0.000233,-0.001502,-0.000959,0.000037,-0.004506
1972,-0.010541,0.004745,0.001862,-0.002421,0.001257,0.001375,-0.004169
1971.5,-0.009946,0.003881,0.001826,-0.004237,0.002023,0.001507,-0.004784
1971,-0.009259,0.001527,0.000606,-0.005701,0.001247,0.000768,-0.005615
1970.5,-0.007936,-0.000966,-0.000069,-0.005487,0.000034,0.000211,-0.005096
1970,-0.005596,-0.00235,0.000619,-0.003687,-0.000541,0.000496,-0.002464
1969.5,-0.00267,-0.002681,0.001908,-0.001659,-0.000413,0.001097,0.001162
1969,-0.000159,-0.002917,0.002612,-0.000447,-0.000094,0.000933,0.003874
1968.5,0.001032,-0.003475,0.002604,0.000058,0.000281,-0.0004,0.004946
1968,0.000516,-0.003877,0.002726,0.000432,0.000989,-0.002232,0.00515
1967.5,-0.001343,-0.003902,0.003256,0.000812,0.001892,-0.003498,0.005142
1967,-0.003432,-0.004177,0.003004,0.000928,0.002179,-0.00366,0.004283
1966.5,-0.004546,-0.005071,0.000671,0.000644,0.001261,-0.003047,0.001607
1966,-0.004274,-0.00574,-0.003091,0.000141,-0.000399,-0.002488,-0.002438
1965.5,-0.00313,-0.005005,-0.00578,-0.000297,-0.001708,-0.002454,-0.005889
1965,-0.001784,-0.002768,-0.005384,-0.000471,-0.001997,-0.002352,-0.006893
1964.5,-0.000464,0.000037,-0.002273,-0.000216,-0.00141,-0.000974,-0.005191
1964,0.000754,0.002566,0.001317,0.000693,-0.000448,0.001901,-0.002127
1963.5,0.001509,0.004495,0.003491,0.002358,0.000464,0.00469,0.000543
1963,0.001409,0.005527,0.004063,0.00438,0.001021,0.005419,0.00191
1962.5,0.000553,0.005272,0.003908,0.005881,0.001076,0.003909,0.002177
1962,-0.000576,0.003733,0.003629,0.006105,0.000799,0.001801,0.001903
1961.5,-0.001629,0.001384,0.003168,0.005017,0.000488,0.000386,0.001185
1961,-0.002506,-0.001273,0.002333,0.003168,0.000168,-0.000617,-0.000205
1960.5,-0.00313,-0.003728,0.001263,0.001172,-0.000271,-0.001772,-0.001973
1960,-0.003413,-0.005114,0.00039,-0.000321,-0.000483,-0.002379,-0.003008
1959.5,-0.003373,-0.004571,0.00021,-0.000464,0.000264,-0.001176,-0.002299
1959,-0.003008,-0.002247,0.001023,0.001155,0.002047,0.001744,-0.000044
1958.5,-0.002224,0.000471,0.002564,0.003576,0.003753,0.004644,0.002356
1958,-0.001223,0.002042,0.003822,0.004891,0.00407,0.005822,0.003471
1957.5,-0.000809,0.001846,0.003583,0.004091,0.002819,0.004931,0.002913
1957,-0.001837,0.000209,0.001517,0.00203,0.000943,0.002652,0.001387
1956.5,-0.004208,-0.002201,-0.001328,0.000146,-0.000646,-0.000241,-0.000085
1956,-0.006682,-0.004705,-0.003332,-0.001262,-0.001748,-0.003165,-0.000916
1955.5,-0.007805,-0.006641,-0.00367,-0.002811,-0.002446,-0.005529,-0.001127
1955,-0.006947,-0.007471,-0.002848,-0.004439,-0.002545,-0.006763,-0.00099
1954.5,-0.004576,-0.007024,-0.001942,-0.005041,-0.001786,-0.006608,-0.000686
1954,-0.001831,-0.005615,-0.001508,-0.003926,-0.000427,-0.005286,-0.000352
1953.5,0.000231,-0.00392,-0.001311,-0.001823,0.000764,-0.003372,-0.000224
1953,0.001273,-0.002661,-0.000897,0.000001,0.001182,-0.001458,-0.000489
1952.5,0.001723,-0.002182,-0.000209,0.001119,0.000935,0.000158,-0.000998
1952,0.002066,-0.002261,0.000354,0.001988,0.000681,0.00145,-0.00139
1951.5,0.002116,-0.002385,0.000306,0.002932,0.000879,0.00229,-0.001581
1951,0.001237,-0.002228,-0.000524,0.003679,0.001267,0.002308,-0.001882
1950.5,-0.000701,-0.001763,-0.001797,0.003889,0.001186,0.001378,-0.002506
1950,-0.002903,-0.001099,-0.002791,0.003643,0.000405,0.000107,-0.003121
1949.5,-0.004293,-0.000441,-0.002894,0.003256,-0.000488,-0.000546,-0.003107
1949,-0.004398,-0.000161,-0.00212,0.002874,-0.000648,-0.000257,-0.002192
1948.5,-0.003515,-0.000575,-0.001145,0.002423,0.000156,0.000322,-0.000709
1948,-0.002297,-0.001511,-0.000655,0.001887,0.001384,0.000371,0.000744
1947.5,-0.001283,-0.002273,-0.000554,0.001507,0.002435,-0.000119,0.001804
1947,-0.000609,-0.002152,0.000045,0.001708,0.003315,-0.000351,0.002539
1946.5,0.000044,-0.000974,0.001867,0.002721,0.00444,0.000375,0.003251
1946,0.001118,0.000785,0.004495,0.004185,0.005856,0.001914,0.004027
1945.5,0.002604,0.0023,0.006574,0.005219,0.006895,0.00341,0.004467
1945,0.003896,0.002842,0.007067,0.00511,0.006747,0.004072,0.003946
1944.5,0.004253,0.002221,0.006165,0.003994,0.005273,0.003798,0.00226
1944,0.003329,0.000911,0.004837,0.002696,0.003089,0.003056,-0.000075
1943.5,0.001291,-0.000355,0.00376,0.001926,0.000965,0.00224,-0.0022
1943,-0.001257,-0.001207,0.002892,0.001685,-0.000694,0.001277,-0.00353
1942.5,-0.003413,-0.001778,0.001982,0.001511,-0.001772,0.000055,-0.00398
1942,-0.004385,-0.002154,0.00115,0.001256,-0.002065,-0.000915,-0.003588
1941.5,-0.003989,-0.002047,0.000689,0.001296,-0.001365,-0.000832,-0.002261
1941,-0.002671,-0.0013,0.00059,0.001931,0.00011,0.000379,-0.00016
1940.5,-0.001141,-0.000369,0.000622,0.002921,0.001659,0.001804,0.001931
1940,0.000003,0.000049,0.000699,0.003687,0.002642,0.002432,0.003055
1939.5,0.000489,-0.000141,0.000944,0.003852,0.003031,0.002174,0.003002
1939,0.000364,-0.000325,0.001363,0.003478,0.003154,0.001681,0.002452
1938.5,-0.000135,-0.000009,0.00167,0.002794,0.003,0.001292,0.001983
1938,-0.000733,0.000546,0.001539,0.001932,0.002164,0.000652,0.001345
1937.5,-0.001202,0.000774,0.000972,0.001041,0.000574,-0.000482,0.00009
1937,-0.00142,0.000663,0.000352,0.000486,-0.001084,-0.001525,-0.001341
1936.5,-0.00143,0.000746,0.000147,0.000654,-0.001949,-0.001529,-0.001818
1936,-0.001479,0.001262,0.000542,0.001472,-0.001825,-0.000296,-0.00094
1935.5,-0.001799,0.001767,0.001327,0.002326,-0.001217,0.001324,0.000285
1935,-0.002255,0.001767,0.002109,0.002646,-0.000615,0.002254,0.000612
1934.5,-0.002366,0.001359,0.002604,0.002439,-0.000112,0.00206,0.000026
1934,-0.001902,0.00093,0.002696,0.002101,0.000313,0.001032,-0.000418
1933.5,-0.001303,0.000476,0.002325,0.001794,0.000538,-0.000262,-0.000084
1933,-0.001173,-0.000325,0.001496,0.001292,0.000547,-0.001284,0.000514
