t,Tin,Tin_amb,Tout,T4,T5,T6,T7,T8,note,Tset,duty
2023-04-28 13:22:19,110.97007751464844,35.47151523668845,48.591710086805165,99.78885963969687,37.0875546943878,108.67330684491478,33.12161157593492,82.57079995430206,,,28.021514558619174
2023-04-28 13:22:20,110.98108673095703,35.48639160532005,48.60631080699277,99.79983004172274,37.0955645516101,108.66982975504106,33.15294792851148,82.58172729067577,,,27.987201134512162
2023-04-28 13:22:21,110.99954986572266,35.483049728475706,48.603029831809835,99.79655883944268,37.0880656112065,108.66655899797306,33.1260173254209,82.5856577671601,,,33.16740642980022
2023-04-28 13:22:22,111.01058959960938,35.4832040876833,48.606798005163775,99.80755222415436,37.096096069913436,108.67393348528763,33.12617656937822,82.60380372182408,,,27.925811421740157
2023-04-28 13:22:23,110.99624633789062,35.49443372003556,48.61782086378299,99.81856093065659,37.09234659971163,108.68133854042527,33.134157141547206,82.59317461226532,,,27.806374349399558
2023-04-28 13:22:24,111.00371551513672,35.487279170763706,48.62165564626187,99.82239137829133,37.10438816747511,108.69599963256312,33.13829238046465,82.60418606389453,,,30.359190931560768
2023-04-28 13:22:25,111.01861572265625,35.49506273380649,48.6256769342906,99.83002162997973,37.1048228588007,108.69640083524085,33.130927347438394,82.60098968418549,,,28.918407829493088
2023-04-28 13:22:26,111.018798828125,35.4915472028536,48.629460332587385,99.82657422710845,37.11287803928918,108.69657660022347,33.11940665960273,82.61194760792485,,,32.96018182966382
2023-04-28 13:22:27,111.0263671875,35.5066165204947,48.64063163439933,99.84135209408326,37.12503291521809,108.70773385564242,33.139252948181586,82.59427575742824,,,26.245728964287157
2023-04-28 13:22:28,111.02999114990234,35.49556054225098,48.637019516709536,99.83773615151607,37.11322826452781,108.72219243595245,33.139252948181586,82.60507309749799,,,32.918964039670804
2023-04-28 13:22:29,111.03031921386719,35.49958931756911,48.644586313303115,99.84529745514703,37.117529854517564,108.71167710481788,33.170811833980565,82.59101820298793,,,28.824887326594386
2023-04-28 13:22:30,111.03771209716797,35.499720522895565,48.63748387746629,99.84904363293381,37.125539711739876,108.7226585952542,33.159254397539364,82.61633689489372,,,30.16684590021765
2023-04-28 13:22:31,111.04166412353516,35.49637864605121,48.64867421045678,99.84938837322093,37.11803665103935,108.71938783818618,33.15182097127503,82.60228200038365,,,31.40074492542442
2023-04-28 13:22:32,111.04182434082031,35.496533005258804,48.645206729724016,99.86038175793261,37.1260712300432,108.72314003846748,33.1558816921868,82.60962296813646,,,27.454647048930163
2023-04-28 13:22:33,111.05129623413086,35.498794367650014,48.647427668261415,99.85717184281471,37.12455084047786,108.7271635281785,33.15632369624784,82.61362608961417,,,32.61370698283138
2023-04-28 13:22:34,111.0605697631836,35.50085120409117,48.64944307007042,99.86461823301664,37.13068184230234,108.73821761719459,33.148750421123545,82.62103970236036,,,28.706367609071798
2023-04-28 13:22:35,111.06439208984375,35.501059589021416,48.64964860679881,99.87565758309994,37.13877410546315,108.74203859507779,33.15676978348727,82.63563752261048,,,27.294318601908564
2023-04-28 13:22:36,111.06832885742188,35.50136444845641,48.65356522334549,99.87595635801544,37.13516060505987,108.7387143443194,33.15709235458031,82.62513840935569,,,31.165153794066427
2023-04-28 13:22:37,111.07212829589844,35.50522342864619,48.64288111970456,99.87974084027857,37.13535013871843,108.76418498288882,33.16897644529294,82.64329965770249,,,29.878483840877536
2023-04-28 13:22:38,111.07952880859375,35.51274844001627,48.653884947145215,99.89073422499025,37.143384717722284,108.75350917068316,33.19253638462016,82.66503962782878,,,27.165458517656052
2023-04-28 13:22:39,111.07986450195312,35.5167772153344,48.6542237021235,99.89830318951648,37.15162119127547,108.75746006181438,33.173404652260075,82.6689777511545,,,28.316012957687267
2023-04-28 13:22:40,111.09089660644531,35.50955320441913,48.65075622139073,99.89844874652661,37.15571676641897,108.76121226209568,33.169662419262956,82.64753600784317,,,30.993667286814087
2023-04-28 13:22:41,111.09102630615234,35.524433432030925,48.654505363566116,99.90581086688057,37.15586097681135,108.75773517222197,33.1698073720959,82.6440643418434,,,28.319780303832022
